route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
01250425-47,20250326,20250326-47-47203,47D - McMaster U,,1,MDDS5123,375117,1,1,47D
01250425-47,20250326,20250326-47-47113,47D - McMaster U,,1,MDDS5122,375117,1,1,47D
01250425-47,20250326,20250326-47-47516,47D - Hwy. 407 Bus Term,,0,MDDS5121,375118,1,1,47D
01250425-16,20250326,20250326-16-16421,16 - Hamilton GO,,1,MDDS5121,374996,1,1,16
01250425-16,20250326,20250326-16-16400,16 - Union Station,,0,MDDS5121,374995,1,1,16
01250425-41,20250326,20250326-41-41191,41 - Hamilton GO,,1,MDDS5121,375110,1,1,41
01250425-47,20250326,20250326-47-47496,47D - Hwy. 407 Bus Term,,0,MDDS5120,375118,1,1,47D
01250425-47,20250326,20250326-47-47414,47G - Erin Mills,,0,MDDS5120,375115,1,1,47G
01250425-47,20250326,20250326-47-47253,47D - McMaster U,,1,MDDS5120,375117,1,1,47D
01250425-41,20250326,20250326-41-41096,41D - Centennial College,,0,MDDS5120,375113,1,1,41D
01250425-48,20250326,20250326-48-48340,48 - Hwy. 407 Bus Term,,0,MDDS5119,375121,1,1,48
01250425-31,20250326,20250326-31-31131,31B - U of Guelph,,1,MDDS5119,375067,1,1,31B
01250425-47,20250326,20250326-47-47235,47G - McMaster U,,1,MDDS5118,375114,1,1,47G
01250425-47,20250326,20250326-47-47133,47D - McMaster U,,1,MDDS5118,375117,1,1,47D
01250425-54,20250326,20250326-54-54130,54 - Hwy. 407 Bus Term,,1,MDDS5118,375126,1,1,54
01250425-61,20250326,20250326-61-61280,61 - Union Station,,1,MDDS5117,375135,1,1,61
01250425-40,20250326,20250326-40-40751,40 - Hamilton GO,,1,MDDS2315,375104,1,1,40
01250425-40,20250326,20250326-40-40650,40 - Richmond Hill Ctr,,0,MDDS2315,375103,1,1,40
01250425-17,20250326,20250326-17-17470,17 - Hamilton GO,,1,MDDS2315,374998,1,1,17
01250425-17,20250326,20250326-17-17661,17 - U of Waterloo,,0,MDDS2314,374997,1,1,17
01250425-25,20250326,20250326-25-25460,25 - Square One,,0,MDDS2314,375041,1,1,25
01250425-30,20250326,20250326-30-30750,30 - Bramalea GO,,0,MDDS2313,375060,1,1,30
01250425-17,20250326,20250326-17-17601,17 - U of Waterloo,,0,MDDS2313,374997,1,1,17
01250425-17,20250326,20250326-17-17430,17 - Hamilton GO,,1,MDDS2313,374998,1,1,17
01250425-25,20250326,20250326-25-25731,25 - U of Waterloo,,1,MDDS2312,375046,1,1,25
01250425-25,20250326,20250326-25-25622,25A - Square One,,0,MDDS2312,375045,1,1,25A
01250425-30,20250326,20250326-30-30491,30 - U of Waterloo,,1,MDDS2312,375057,1,1,30
01250425-30,20250326,20250326-30-30400,30 - Bramalea GO,,0,MDDS2312,375060,1,1,30
01250425-30,20250326,20250326-30-30671,30 - U of Waterloo,,1,MDDS2311,375057,1,1,30
01250425-30,20250326,20250326-30-30550,30 - Bramalea GO,,0,MDDS2311,375060,1,1,30
01250425-17,20250326,20250326-17-17401,17 - U of Waterloo,,0,MDDS2311,374997,1,1,17
01250425-30,20250326,20250326-30-30480,30 - Bramalea GO,,0,MDDS2310,375060,1,1,30
01250425-19,20250326,20250326-19-19750,19 - Finch Terminal,,0,MDDS1142,375024,1,1,19
01250425-41,20250326,20250326-41-41643,41C - Square One,,1,MDDS1142,375107,1,1,41C
01250425-41,20250326,20250326-41-41502,41B - Centennial College,,0,MDDS1142,375109,1,1,41B
01250425-18,20250326,20250326-18-18941,18 - Hamilton GO,,1,MDDS1141,374999,1,1,18
01250425-16,20250326,20250326-16-16861,16 - Hamilton GO,,1,MDDS1141,374996,1,1,16
01250425-16,20250326,20250326-16-16840,16 - Union Station,,0,MDDS1141,374995,1,1,16
01250425-40,20250326,20250326-40-40651,40 - Hamilton GO,,1,MDDS1141,375104,1,1,40
01250425-40,20250326,20250326-40-40540,40 - Richmond Hill Ctr,,0,MDDS1141,375103,1,1,40
01250425-41,20250326,20250326-41-41731,41 - Hamilton GO,,1,MDDS1140,375110,1,1,41
01250425-41,20250326,20250326-41-41530,41 - Pickering GO,,0,MDDS1140,375108,1,1,41
01250425-16,20250326,20250326-16-16761,16 - Hamilton GO,,1,MDDS1139,374996,1,1,16
01250425-41,20250326,20250326-41-41603,41C - Square One,,1,MDDS1139,375107,1,1,41C
01250425-41,20250326,20250326-41-41472,41B - Centennial College,,0,MDDS1139,375109,1,1,41B
01250425-41,20250326,20250326-41-41711,41 - Hamilton GO,,1,MDDS1138,375110,1,1,41
01250425-41,20250326,20250326-41-41510,41 - Pickering GO,,0,MDDS1138,375108,1,1,41
01250425-18,20250326,20250326-18-18841,18 - Hamilton GO,,1,MDDS1137,374999,1,1,18
01250425-33,20250326,20250326-33-33681,33 - U of Guelph,,1,MDDS1137,375088,1,1,33
01250425-47,20250326,20250326-47-47466,47D - Hwy. 407 Bus Term,,0,MDDS1137,375118,1,1,47D
01250425-16,20250326,20250326-16-16721,16 - Hamilton GO,,1,MDDS1136,374996,1,1,16
01250425-16,20250326,20250326-16-16710,16 - Union Station,,0,MDDS1136,374995,1,1,16
01250425-15,20250326,20250326-15-15451,15 - Brantford Term,,1,MDDS1136,374992,1,1,15
01250425-18,20250326,20250326-18-18610,18 - Aldershot GO,,0,MDDS1136,375001,1,1,18
01250425-41,20250326,20250326-41-41701,41 - Hamilton GO,,1,MDDS1135,375110,1,1,41
01250425-41,20250326,20250326-41-41480,41 - Pickering GO,,0,MDDS1135,375108,1,1,41
01250425-16,20250326,20250326-16-16831,16 - Hamilton GO,,1,MDDS1134,374996,1,1,16
01250425-16,20250326,20250326-16-16810,16 - Union Station,,0,MDDS1134,374995,1,1,16
01250425-41,20250326,20250326-41-41573,41A - Square One,,1,MDDS1134,375105,1,1,41A
01250425-41,20250326,20250326-41-41422,41B - Centennial College,,0,MDDS1134,375109,1,1,41B
01250425-12,20250326,20250326-12-12742,12B - Burlington GO,,0,MDDS1133,374991,1,1,12B
01250425-12,20250326,20250326-12-12603,12B - Niagara Falls,,1,MDDS1133,374990,1,1,12B
01250425-12,20250326,20250326-12-12592,12B - Burlington GO,,0,MDDS1133,374991,1,1,12B
01250425-12,20250326,20250326-12-12443,12B - Niagara Falls,,1,MDDS1133,374990,1,1,12B
01250425-41,20250326,20250326-41-41671,41 - Hamilton GO,,1,MDDS1132,375110,1,1,41
01250425-47,20250326,20250326-47-47374,47G - Erin Mills,,0,hamlt008,375115,1,1,47G
01250425-15,20250326,20250326-15-15370,15 - Aldershot GO,,0,hamlt007,374993,1,1,15
01250425-15,20250326,20250326-15-15041,15 - Brantford Term,,1,hamlt007,374992,1,1,15
01250425-17,20250326,20250326-17-17131,17 - U of Waterloo,,0,hamlt006,374997,1,1,17
01250425-40,20250326,20250326-40-40411,40 - Hamilton GO,,1,hamlt005,375104,1,1,40
01250425-40,20250326,20250326-40-40300,40 - Richmond Hill Ctr,,0,hamlt005,375103,1,1,40
01250425-40,20250326,20250326-40-40201,40 - Hamilton GO,,1,hamlt005,375104,1,1,40
01250425-40,20250326,20250326-40-40090,40 - Richmond Hill Ctr,,0,hamlt005,375103,1,1,40
01250425-11,20250326,20250326-11-11570,11 - Aldershot GO,,0,hamlt004,374984,1,1,11
01250425-11,20250326,20250326-11-11161,11 - Brock University,,1,hamlt004,374985,1,1,11
01250425-18,20250326,20250326-18-18121,18 - Hamilton GO,,1,hamlt004,374999,1,1,18
01250425-15,20250326,20250326-15-15290,15 - Aldershot GO,,0,hamlt004,374993,1,1,15
01250425-17,20250326,20250326-17-17270,17 - Hamilton GO,,1,hamlt003,374998,1,1,17
01250425-17,20250326,20250326-17-17071,17 - U of Waterloo,,0,hamlt003,374997,1,1,17
01250425-47,20250326,20250326-47-47045,47G - McMaster U,,1,hamlt002,375114,1,1,47G
01250425-15,20250326,20250326-15-15160,15 - Aldershot GO,,0,hamlt002,374993,1,1,15
01250425-17,20250326,20250326-17-17230,17 - Hamilton GO,,1,hamlt001,374998,1,1,17
01250425-25,20250326,20250326-25-25111,25 - U of Waterloo,,1,hamlt001,375046,1,1,25
01250425-12,20250326,20250326-12-12050,12A - Burlington Carpool,,0,hamlt001,374989,1,1,12A
01250425-71,20250326,20250326-71-71961,71C - Old Elm GO,,0,eggoG012,375157,1,1,71C
01250425-71,20250326,20250326-71-71910,71C - Union Station,,1,eggoG012,375158,1,1,71C
01250425-68,20250326,20250326-68-68761,68 - Barrie Terminal,,0,eggoG012,375147,1,1,68
01250425-66,20250326,20250326-66-66751,66 - East Gwillimbury GO,,0,eggoG012,375142,1,1,66
01250425-66,20250326,20250326-66-66760,66 - Hwy. 407 Bus Term,,1,eggoG012,375143,1,1,66
01250425-65,20250326,20250326-65-65941,65E - East Gwillimbury GO,,0,eggoG011,375137,1,1,65E
01250425-65,20250326,20250326-65-65910,65E - Union Station,,1,eggoG011,375139,1,1,65E
01250425-70,20250326,20250326-70-70791,70D - Uxbridge,,0,eggoG011,375154,1,1,70D
01250425-68,20250326,20250326-68-68711,68E - East Gwillimbury GO,,0,eggoG011,375146,1,1,68E
01250425-68,20250326,20250326-68-68830,68 - Aurora GO,,1,eggoG011,375149,1,1,68
01250425-61,20250326,20250326-61-61721,61 - Bloomington GO,,0,eggoG010,375134,1,1,61
01250425-65,20250326,20250326-65-65670,65 - Union Station,,1,eggoG010,375138,1,1,65
01250425-66,20250326,20250326-66-66441,66 - East Gwillimbury GO,,0,eggoG010,375142,1,1,66
01250425-66,20250326,20250326-66-66610,66 - Hwy. 407 Bus Term,,1,eggoG010,375143,1,1,66
01250425-70,20250326,20250326-70-70741,70D - Uxbridge,,0,eggoG009,375154,1,1,70D
01250425-70,20250326,20250326-70-70680,70D - Mount Joy GO,,1,eggoG009,375152,1,1,70D
01250425-70,20250326,20250326-70-70651,70B - Uxbridge,,0,eggoG009,375153,1,1,70B
01250425-61,20250326,20250326-61-61441,61 - Bloomington GO,,0,eggoG009,375134,1,1,61
01250425-61,20250326,20250326-61-61440,61 - Union Station,,1,eggoG009,375135,1,1,61
01250425-61,20250326,20250326-61-61771,61 - Bloomington GO,,0,eggoG008,375134,1,1,61
01250425-65,20250326,20250326-65-65710,65 - Union Station,,1,eggoG008,375138,1,1,65
01250425-68,20250326,20250326-68-68760,68B - East Gwillimbury GO,,1,eggoG008,375150,1,1,68B
01250425-68,20250326,20250326-68-68321,68 - Barrie Terminal,,0,eggoG008,375147,1,1,68
01250425-68,20250326,20250326-68-68840,68 - Aurora GO,,1,eggoG007,375149,1,1,68
01250425-68,20250326,20250326-68-68461,68B - Barrie Terminal,,0,eggoG007,375148,1,1,68B
01250425-61,20250326,20250326-61-61421,61 - Bloomington GO,,0,eggoG007,375134,1,1,61
01250425-61,20250326,20250326-61-61400,61 - Union Station,,1,eggoG007,375135,1,1,61
01250425-68,20250326,20250326-68-68680,68B - East Gwillimbury GO,,1,eggoG006,375150,1,1,68B
01250425-68,20250326,20250326-68-68291,68 - Barrie Terminal,,0,eggoG006,375147,1,1,68
01250425-41,20250326,20250326-41-41122,41A - Pickering GO,,0,eggoG006,375111,1,1,41A
01250425-67,20250326,20250326-67-67110,67 - Finch Terminal,,1,eggoG006,375144,1,1,67
01250425-70,20250326,20250326-70-70411,70D - Uxbridge,,0,eggoG005,375154,1,1,70D
01250425-66,20250326,20250326-66-66321,66 - East Gwillimbury GO,,0,eggoG005,375142,1,1,66
01250425-66,20250326,20250326-66-66460,66 - Hwy. 407 Bus Term,,1,eggoG005,375143,1,1,66
01250425-67,20250326,20250326-67-67220,67 - Finch Terminal,,1,eggoG005,375144,1,1,67
01250425-70,20250326,20250326-70-70060,70B - Old Elm GO,,1,eggoG005,375151,1,1,70B
01250425-68,20250326,20250326-68-68500,68 - Aurora GO,,1,eggoG004,375149,1,1,68
01250425-68,20250326,20250326-68-68031,68B - Barrie Terminal,,0,eggoG004,375148,1,1,68B
01250425-66,20250326,20250326-66-66031,66 - East Gwillimbury GO,,0,eggoG004,375142,1,1,66
01250425-66,20250326,20250326-66-66100,66 - Hwy. 407 Bus Term,,1,eggoG004,375143,1,1,66
01250425-65,20250326,20250326-65-65141,65 - East Gwillimbury GO,,0,eggoG003,375136,1,1,65
01250425-61,20250326,20250326-61-61050,61 - Union Station,,1,eggoG003,375135,1,1,61
01250425-66,20250326,20250326-66-66251,66 - East Gwillimbury GO,,0,eggoG002,375142,1,1,66
01250425-66,20250326,20250326-66-66280,66 - Hwy. 407 Bus Term,,1,eggoG002,375143,1,1,66
01250425-65,20250326,20250326-65-65031,65 - East Gwillimbury GO,,0,eggoG002,375136,1,1,65
01250425-71,20250326,20250326-71-71050,71 - Union Station,,1,eggoG002,375159,1,1,71
01250425-68,20250326,20250326-68-68021,68 - Barrie Terminal,,0,eggoG001,375147,1,1,68
01250425-68,20250326,20250326-68-68130,68B - East Gwillimbury GO,,1,eggoG001,375150,1,1,68B
01250425-96,20250326,20250326-96-96281,96B - DC Oshawa GO,,0,DDS91005,375694,1,1,96B
01250425-96,20250326,20250326-96-96160,96B - Finch Terminal,,1,DDS91005,375695,1,1,96B
01250425-96,20250326,20250326-96-96071,96B - DC Oshawa GO,,0,DDS91005,375694,1,1,96B
01250425-96,20250326,20250326-96-96030,96B - Finch Terminal,,1,DDS91005,375695,1,1,96B
01250425-88,20250326,20250326-88-88950,88 - Trent U,,0,DDS91004,375678,1,1,88
01250425-88,20250326,20250326-88-88811,88 - DC Oshawa GO,,1,DDS91004,375682,1,1,88
01250425-88,20250326,20250326-88-88760,88B - Trent U,,0,DDS91004,375679,1,1,88B
01250425-88,20250326,20250326-88-88870,88 - Trent U,,0,DDS91003,375678,1,1,88
01250425-92,20250326,20250326-92-92681,92 - DC Oshawa GO,,0,DDS91003,375688,1,1,92
01250425-92,20250326,20250326-92-92560,92 - Yorkdale Term,,1,DDS91003,375689,1,1,92
01250425-92,20250326,20250326-92-92431,92 - DC Oshawa GO,,0,DDS91002,375688,1,1,92
01250425-92,20250326,20250326-92-92330,92 - Yorkdale Term,,1,DDS91002,375689,1,1,92
01250425-92,20250326,20250326-92-92231,92 - DC Oshawa GO,,0,DDS91002,375688,1,1,92
01250425-92,20250326,20250326-92-92090,92 - Yorkdale Term,,1,DDS91002,375689,1,1,92
01250425-92,20250326,20250326-92-92271,92 - DC Oshawa GO,,0,DDS91001,375688,1,1,92
01250425-92,20250326,20250326-92-92150,92 - Yorkdale Term,,1,DDS91001,375689,1,1,92
01250425-88,20250326,20250326-88-88021,88B - DC Oshawa GO,,1,DDS91001,375683,1,1,88B
01250425-66,20250326,20250326-66-66381,66 - East Gwillimbury GO,,0,DDS61003,375142,1,1,66
01250425-66,20250326,20250326-66-66550,66 - Hwy. 407 Bus Term,,1,DDS61003,375143,1,1,66
01250425-70,20250326,20250326-70-70300,70D - Mount Joy GO,,1,DDS61003,375152,1,1,70D
01250425-71,20250326,20250326-71-71171,71 - Uxbridge,,0,DDS61003,375160,1,1,71
01250425-61,20250326,20250326-61-61381,61 - Bloomington GO,,0,DDS61002,375134,1,1,61
01250425-61,20250326,20250326-61-61370,61 - Union Station,,1,DDS61002,375135,1,1,61
01250425-67,20250326,20250326-67-67240,67 - Finch Terminal,,1,DDS61002,375144,1,1,67
01250425-70,20250326,20250326-70-70110,70B - Old Elm GO,,1,DDS61002,375151,1,1,70B
01250425-68,20250326,20250326-68-68550,68 - Aurora GO,,1,DDS61001,375149,1,1,68
01250425-68,20250326,20250326-68-68101,68B - Barrie Terminal,,0,DDS61001,375148,1,1,68B
01250425-66,20250326,20250326-66-66101,66 - East Gwillimbury GO,,0,DDS61001,375142,1,1,66
